id	миротряд	order	suborder	hyporder	infraorder	parvorder	superfamily	family	subfamily	genus	location_ru	continent_id	period_start	period_end	origin	origin_confedence	debug
177		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Atelinae		Южная Америка		0	0			
178		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Atelinae		Куба		0	0			
179		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Callicebinae		Южная Америка	s_america	0	0			
180		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Cebinae		Гаити	oceania	0	0			
181		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Cebinae		Южная Америка	s_america	0	0			
182		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Cebinae	Dolichocebus gaimanensis	Аргентина	s_america	24.9	15.4			
183		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Cebinae	Chilecebus carrascoensis	Чили	s_america	20.5	19.9			
184		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Cebinae	Laventiana annectens	Колумбия	s_america	13.8	13.2			
185		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Cebinae	Acrecebus fraileyi	Бразилия	s_america	8	6			
186		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Pitheciinae	Mazzonicebus almendrae	Аргентина	s_america	20.5	19.6			
187		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Pitheciinae	Carlocebus carmenensis	Аргентина	s_america	20.5	19.6			
188		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Pitheciinae	Carlocebus intermedius	Аргентина	s_america	20.5	19.6			
189		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Pitheciinae	Homunculus patagonicus	Аргентина	s_america	20.5	19.6			
190		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Pitheciinae	Soriacebus adrianae	Аргентина	s_america	20.5	19.6			
191		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Pitheciinae	Soriacebus ameghinorum	Аргентина	s_america	20.5	19.6			
192		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Pitheciinae	Propithecia neuquenensis	Аргентина	s_america	16.2	15.3			
193		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Pitheciinae	Cebupithecia sarmientoi	Колумбия	s_america	13.9	13.2			
194		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Pitheciinae	Mohanamico hershkovitzi	Колумбия	s_america	13.9	13.2			
195		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Pitheciinae	Nuciruptor rubricae	Колумбия	s_america	13.9	13.2			
196		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Pitheciinae	Canaanimico amazonensis	Перу	s_america	40.8	39.8			
197		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Saimiriinae	Killikaike blakei	Аргентина	s_america	16.8	16			
198		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Saimiriinae	Neosaimiri fieldsi	Колумбия	s_america	13.8	13.3			
199		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Saimiriinae		Центральная Америка	s_america	0	0			
200		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI			Cebidae	Saimiriinae		Южная Америка	s_america	0	0			
201		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI				Xenothrichinae	Xenothrix mcgregori	Ямайка	oceania	0.2	0			
202		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	PLATYRRHINI				Pitheciinae		Южная Америка	s_america	0	0			
203		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	CATARRHINI	EOCATARRHINI	PROPLIOPITHECOIDEA	Propliopithecidae	Propliopithecinae		Египет	africa	31.5	29.5			
204		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	CATARRHINI	EOCATARRHINI	PROPLIOPITHECOIDEA	Propliopithecidae	Oligopithecinae		Ливия	africa	39.1	28			
205		PRIMATES	HAPLORRHINI	ANTHROPOIDEA	CATARRHINI	EOCATARRHINI	PROPLIOPITHECOIDEA	Propliopithecidae	Oligopithecinae		Египет	africa	39.1	28			
