надотряд\b	отряд\b	подотряд\b	гипотряд\b	инфраотряд\b	парвотряд\b	надсем\b\.	сем\b\.	подсем\b\.	род	period	debug
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		Cynocephalus volans	None	debug609
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		*	[]	debug614
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		Galeopterus Thomas,	None	debug617
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		Galeopterus variegatus	None	debug623
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		***	[]	debug629
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		Dermotherium Ducrocq,	[56.0, 33.9]	debug632
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		Dermotherium chimaera	[33.9, 23.03]	debug635
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		Dermotherium major	[56.0, 33.9]	debug643
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Cynocephalidae		Dermotherium sp.	[56.0, 33.9]	debug646
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Mixodectidae		Mixodectes Cope,	[66.0, 56.0]	debug656
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Mixodectidae		Mixodectes malaris	[66.0, 56.0]	debug665
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Mixodectidae		Mixodectes pungens	[66.0, 56.0]	debug670
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Mixodectidae		*	[]	debug678
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Mixodectidae		Dracontolestes aphantus	[66.0, 56.0]	debug681
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Placentidentidae		Placentidens lotus	[56.0, 33.9]	debug688
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Plagiomeninae	Plagiomene Matthew,	[66.0, 56.0]	debug700
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Plagiomeninae	Plagiomene accola	[56.0, 33.9]	debug703
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Plagiomeninae	Plagiomene multicuspis	[56.0, 33.9]	debug706
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Plagiomeninae	*	[]	debug709
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Plagiomeninae	Ellesmene eureka	[56.0, 33.9]	debug712
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Plagiomeninae	Planetetherium mirabile	[66.0, 56.0]	debug716
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Plagiomeninae	Worlandia inusitata	[66.0, 56.0]	debug723
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Ekgmowechashalinae	Ekgmowechashala philotau	[33.9, 23.03]	debug739
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Ekgmowechashalinae	Ekgmowechashala zancanellai	[33.9, 23.03]	debug747
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Ekgmowechashalinae	*	[]	debug752
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Ekgmowechashalinae	Gatanthropus micros	[56.0, 33.9]	debug755
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Ekgmowechashalinae	*	[]	debug758
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Ekgmowechashalinae	Muangthanhinius siami	[56.0, 33.9]	debug761
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Thylacaelurinae	Thylacaelurus Russell,	[56.0, 33.9]	debug775
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Thylacaelurinae	Thylacaelurus campester	[56.0, 33.9]	debug780
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	Thylacaelurinae	Thylacaelurus montanus	[56.0, 33.9]	debug783
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	incertae	Elpidophorus Simpson,	[66.0, 56.0]	debug790
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	incertae	Elpidophorus elegans	[66.0, 56.0]	debug795
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	incertae	Elpidophorus minor	[66.0, 56.0]	debug800
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	incertae	*	[]	debug803
ARCHONTA	DERMOPTERA					PLAGIOMENOIDEA	Plagiomenidae	incertae	Eudaemonema cuspidata	[66.0, 56.0]	debug806
ARCHONTA	INCERTAE						Purgatoriidae	Purgatoriinae	Purgatorius Van	[145.0, 66.0]	debug824
ARCHONTA	INCERTAE						Purgatoriidae	Purgatoriinae	Purgatorius coracis	[66.0, 56.0]	debug829
ARCHONTA	INCERTAE						Purgatoriidae	Purgatoriinae	Purgatorius janisae	[66.0, 56.0]	debug832
ARCHONTA	INCERTAE						Purgatoriidae	Purgatoriinae	Purgatorius pinecreeensis	[66.0, 56.0]	debug835
ARCHONTA	INCERTAE						Purgatoriidae	Purgatoriinae	Purgatorius titusi	[66.0, 56.0]	debug838
ARCHONTA	INCERTAE						Purgatoriidae	Purgatoriinae	Purgatorius unio	[66.0, 56.0]	debug843
ARCHONTA	INCERTAE						Purgatoriidae	Purgatoriinae	?Purgatorius ceratops	[145.0, 66.0]	debug850
ARCHONTA	INCERTAE						Purgatoriidae	Purgatoriinae	*	[]	debug858
ARCHONTA	INCERTAE						Purgatoriidae	Purgatoriinae	Ursolestes perpetior	[66.0, 56.0]	debug861
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Adapisoriculus Lemoine,	[]	debug893
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Adapisoriculus minimus	[66.0, 56.0]	debug896
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		?Adapisoriculus sp.	[66.0, 56.0]	debug903
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		?Adapisoriculus sp.	[66.0, 56.0]	debug906
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		*	[]	debug909
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Afrodon Gheerbrant,	None	debug912
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Afrodon chleuhi	[66.0, 56.0]	debug915
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Afrodon cf.	[66.0, 56.0]	debug920
ARCHONTA	PLESIADAPIFORMES	TUPAIOIDEA				Plesiadapoidea	Adapisoriculidae		Afrodon germanicus	[66.0, 56.0]	debug925
