"надотряд\b"	"отряд\b"	"подотряд\b"	"гипотряд\b"	"инфраотряд\b"	"парвотряд\b"	"надсем\b\."	"сем\b\."	"подсем\b\."	"род"	"period_start"	"period_end"	"debug"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Mixodectidae"	""	"Dracontolestes aphantus"	"66.0"	"56.0"	"debug681"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Placentidentidae"	""	"Placentidens lotus"	"56.0"	"33.9"	"debug688"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Plagiomeninae"	"Plagiomene Matthew,"	"66.0"	"56.0"	"debug700"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Plagiomeninae"	"Plagiomene accola"	"56.0"	"33.9"	"debug703"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Plagiomeninae"	"Plagiomene multicuspis"	"56.0"	"33.9"	"debug706"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Plagiomeninae"	"*"	""	""	"debug709"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Plagiomeninae"	"Ellesmene eureka"	"56.0"	"33.9"	"debug712"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Plagiomeninae"	"Planetetherium mirabile"	"66.0"	"56.0"	"debug716"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Plagiomeninae"	"Worlandia inusitata"	"66.0"	"56.0"	"debug723"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Ekgmowechashalinae"	"Ekgmowechashala philotau"	"33.9"	"23.03"	"debug739"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Ekgmowechashalinae"	"Ekgmowechashala zancanellai"	"33.9"	"23.03"	"debug747"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Ekgmowechashalinae"	"*"	""	""	"debug752"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Ekgmowechashalinae"	"Gatanthropus micros"	"56.0"	"33.9"	"debug755"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Ekgmowechashalinae"	"*"	""	""	"debug758"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Ekgmowechashalinae"	"Muangthanhinius siami"	"56.0"	"33.9"	"debug761"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Thylacaelurinae"	"Thylacaelurus Russell,"	"56.0"	"33.9"	"debug775"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Thylacaelurinae"	"Thylacaelurus campester"	"56.0"	"33.9"	"debug780"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"Thylacaelurinae"	"Thylacaelurus montanus"	"56.0"	"33.9"	"debug783"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"incertae"	"Elpidophorus Simpson,"	"66.0"	"56.0"	"debug790"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"incertae"	"Elpidophorus elegans"	"66.0"	"56.0"	"debug795"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"incertae"	"Elpidophorus minor"	"66.0"	"56.0"	"debug800"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"incertae"	"*"	""	""	"debug803"
"ARCHONTA"	"DERMOPTERA"	""	""	""	""	"PLAGIOMENOIDEA"	"Plagiomenidae"	"incertae"	"Eudaemonema cuspidata"	"66.0"	"56.0"	"debug806"
"ARCHONTA"	"INCERTAE"	""	""	""	""	""	"Purgatoriidae"	"Purgatoriinae"	"Purgatorius Van"	"145.0"	"66.0"	"debug824"
"ARCHONTA"	"INCERTAE"	""	""	""	""	""	"Purgatoriidae"	"Purgatoriinae"	"Purgatorius coracis"	"66.0"	"56.0"	"debug829"
